,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Run Invoice Batch,,,
,,,"Bookintelligent Co.,Ltd",,,,,,ใบแจ้งหนี้ / ใบส่งสินค้า,,,,,,,,,,,20250400001,,,
,,,"Address 10/111 Samdum, Bangkoontien",,,,,,INVOICE / DELIVERY ORDER,,,,,,,,,,,20250400002,,File Name,INV20250400001
,,,"Bangkok, 12345",,,,,,,,,,,,,,,,,20250400003,,Save Path,C:\Users\srojcha2\OneDrive - azureford\Desktop\Private\999 Web Book\000 Excel Analysis\01 Excel VBA run Invoice pdf
,,,Tel : 091-123-1234,,,,,เลขประจำตัวผู้เสียภาษี,1211231212121,,,,,,,,,,,20250400004,,,
,,,สาขาที่,00000,,,,วันที่,03 มี.ค. 2025,,,,,,,,,,,20250400005,,,
,,,,,,,,,,,,,,,,,,,,20250400006,,,
,,,,,,,,,,,,,,,,,,,,20250400007,,,
,,,รหัสลูกค้า,FUR-CU-008,,,,เลขที่ใบส่งสินค้า,20250400001,,,,,,,,,,,20250400008,,,
,,,ชื่อ,วีระชัย   แสงสว่าง,,,,,,,,,,,,,,,,20250400009,,,
,,,ที่อยู่,60 หมู่ 7 ต.หนองปลาไหล อ.บางละมุง จ.ชลบุรี 20150,,,,พนักงานขาย,กู๋,,,,,,,,,,,20250400010,,,
,,,โทร,061-345-6789,,,,เงื่อนไขชำระ(วัน),30,,,,,,,,,,,20250400011,,,
,,,เลขประจำตัวผู้เสียภาษี,,31017000008,,,วันครบกำหนด,01 เม.ย. 2025,,,,,,,,,,,20250400012,,,
,,,,,,,,,,,,,,,,,,,,20250400013,,,
,,,,,,,,,,,,,,,,,,,,20250400014,,,
,,,ลำดับ,รหัสสินค้า,รายการ,จำนวนหน่วย,ราคาต่อหน่วย,ส่วนลด,จำนวนเงิน,,,,,,,,,,,20250400015,,,
,,,1,FUR-DSK-WD,,1,  ,,0.00,,,,,,1,1 : 20250400001,,,,20250400016,,,
,,,2,FUR-TBL-RECT,,3,  ,,0.00,,,,,,2,2 : 20250400001,,,,20250400017,,,
,,,3,FUR-DSK-WD,,3,  ,,0.00,,,,,,3,3 : 20250400001,,,,20250400018,,,
,,,4,FUR-CAB-MTL,,3,  ,,0.00,,,,,,4,4 : 20250400001,,,,20250400019,,,
,,,5,FUR-TBL-RECT,,3,  ,,0.00,,,,,,5,5 : 20250400001,,,,20250400020,,,
,,,6,FUR-CAB-MTL,,1,  ,,0.00,,,,,,6,6 : 20250400001,,,,,,,
,,,7,FUR-CHR-LTH,,5,  ,,0.00,,,,,,7,7 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,8,8 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,9,9 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,10,10 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,11,11 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,12,12 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,13,13 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,14,14 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,15,15 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,16,16 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,17,17 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,18,18 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,19,19 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,20,20 : 20250400001,,,,,,,
,,,,,,,  ,,0.00,,,,,,21,21 : 20250400001,,,,,,,
,,,หมายเหตุ :,,,,,รวมยอด,0.00,,,,,,,,,,,,,,
,,,"1.กรณ๊ชำระเงินโดยเช็คกรุณาสั่งจ่ายเช็คขีดคร่อมในนาม ""บริษัท บุ๊ค อินเทลลิเจนต์ จำกัด"" เท่านั้น",,,,,ภาษีมูลค่าเพิ่ม 7%,0.00,,,,,,,,,,,,,,
,,,2.สินค้าตามรายการข้างต้นแม้จะได้ส่งมอบให้แก่ผู้ซื้อแล้วก็ยังคงเป็นทรัพย์สินของผู้ขายจนกว่าผู้ซื้อจะได้ชำระเงินเรียบร้อยแล้ว,,,,,Total,0.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,จำนวนเงินตัวอักษร :,,(ศูนย์บาทถ้วน),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,ผู้รับสินค้า,,,,ผู้ส่งสินค้า,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,วันที่,,,,วันที่,,,,,,,,,,,,,,,,
