VP_ID,Month,วันที่,เลขที่เอกสาร,ชื่อ-นามสกุล,หมายเลขห้องพัก,ประเภทห้อง,ที่อยู่,หมายเลขบัตรประชาชน,เบอร์ติดต่อ,มูลค่าสินค้า/บริการ,จำนวนเงินภาษี,รวม,
VP1733,กันยายน 2568,01/09/2068,09/01,คุณเกียรติศักดิ์,A101,Standard,,,,,373.83,26.17,400
VP1734,กันยายน 2568,01/09/2068,09/02,คุณพิชยดล,A206,Standard,,,,,373.83,26.17,400
VP1735,กันยายน 2568,01/09/2068,09/03,คุณอนุรักษ์,B211,Standard,,,,,373.83,26.17,400
VP1736,กันยายน 2568,02/09/2068,09/04,คุณกิตติชัย,A109,Standard Twin,,,,,467.29,32.71,500
VP1737,กันยายน 2568,02/09/2068,09/05,คุณกิติศักดิ์,A205,Standard,,,,,373.83,26.17,400
VP1738,กันยายน 2568,02/09/2068,09/06,คุณคเชนทร์,A103,Standard,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.บ้านไผ่ จ.ขอนแก่น,1468647714210,948970725,373.83,26.17,400,
VP1739,กันยายน 2568,03/09/2068,09/07,คุณศราวุฒิ,A106,Standard Twin,567 หมู่ 13 ถนนสุขุมวิท ต.หนองจิก อ.ปากช่อง จ.ขอนแก่น,2537637841198,877905813,467.29,32.71,500,
VP1740,กันยายน 2568,03/09/2068,09/08,คุณศราวุฒิ,A101,Standard,41 หมู่ 13 ถนนรามอินทรา ต.ท่าศาลา อ.สีคิ้ว จ.พระนครศรีอยุธยา,3849318155985,903334237,373.83,26.17,400,
VP1741,กันยายน 2568,04/09/2068,09/09,คุณปราโมทย์,A106,Standard Twin,,,,,467.29,32.71,500
VP1742,กันยายน 2568,04/09/2068,09/10,คุณรัศมี,A101,Standard,,,,,373.83,26.17,400
VP1743,กันยายน 2568,04/09/2068,09/11,คุณพงษ์,B107,Standard,599 หมู่ 15 ถนนรัชดาภิเษก ต.หนองจิก อ.ปากช่อง จ.มหาสารคาม,8515560195513,917242125,373.83,26.17,400,
VP1744,กันยายน 2568,05/09/2068,09/12,คุณพิชยดล,N3,Standard,,,,,467.29,32.71,500
VP1745,กันยายน 2568,05/09/2068,09/13,คุณกิตติคุณ,B209,Standard,866 หมู่ 10 ถนนมิตรภาพ ต.หนองจิก อ.สีคิ้ว จ.บุรีรัมย์,1397022206461,934661876,373.83,26.17,400,
VP1746,กันยายน 2568,05/09/2068,09/14,คุณจินตนา,A101,Standard,,,,,373.83,26.17,400
VP1747,กันยายน 2568,06/09/2068,09/15,คุณทรงวุฒิ,N1,Standard Twin,227 หมู่ 14 ถนนพหลโยธิน ต.ท่าศาลา อ.สีคิ้ว จ.สมุทรสาคร,8137277764951,915905971,560.75,39.25,600,
VP1748,กันยายน 2568,06/09/2068,09/16,คุณทรงวุฒิ,A101,Standard,,,,,373.83,26.17,400
VP1749,กันยายน 2568,06/09/2068,09/17,คุณนฤวุฒิ,N3,Standard,,,,,467.29,32.71,500
VP1750,กันยายน 2568,07/09/2068,09/18,คุณสุดารัตน์,B206,Standard,235 หมู่ 13 ถนนรามอินทรา ต.บ้านใหม่ อ.ปากช่อง จ.สุพรรณบุรี,1681284705030,917634346,373.83,26.17,400,
VP1751,กันยายน 2568,07/09/2068,09/19,คุณสมเกียรติ,A106,Standard Twin,788 หมู่ 6 ถนนรามอินทรา ต.หนองจิก อ.สีคิ้ว จ.มหาสารคาม,3298150495834,899013098,467.29,32.71,500,
VP1752,กันยายน 2568,07/09/2068,09/20,คุณอภินันท์,A109,Standard Twin,,,,,467.29,32.71,500
VP1753,กันยายน 2568,08/09/2068,09/21,คุณกิตติชัย,B107,Standard,74 หมู่ 11 ถนนมิตรภาพ ต.ท่าศาลา อ.บ้านไผ่ จ.พระนครศรีอยุธยา,5500854407425,934148408,373.83,26.17,400,
VP1754,กันยายน 2568,08/09/2068,09/22,คุณมิน,A106,Standard Twin,,,,,467.29,32.71,500
VP1755,กันยายน 2568,08/09/2068,09/23,คุณคมกริช,A101,Standard,,,,,373.83,26.17,400
VP1756,กันยายน 2568,09/09/2068,09/24,คุณพิสุทธ,A108,Standard Twin,,,,,467.29,32.71,500
VP1757,กันยายน 2568,09/09/2068,09/25,คุณศราวุฒิ,A107,Standard Twin,227 หมู่ 11 ถนนพหลโยธิน ต.โคกสูง อ.ลำลูกกา จ.สุพรรณบุรี,1874984180491,854048704,467.29,32.71,500,
VP1758,กันยายน 2568,09/09/2068,09/26,คุณธนฤต,B111,Standard Twin,,,,,467.29,32.71,500
VP1759,กันยายน 2568,10/09/2068,09/27,คุณกิติศักดิ์,A206,Standard,,,,,373.83,26.17,400
VP1760,กันยายน 2568,10/09/2068,09/28,คุณกิตติชัย,B107,Standard,,,,,373.83,26.17,400
VP1761,กันยายน 2568,10/09/2068,09/29,คุณพงษ์,B108,Standard,,,,,373.83,26.17,400
VP1762,กันยายน 2568,11/09/2068,09/30,คุณศราวุฒิ,A106,Standard Twin,380 หมู่ 6 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.นนทบุรี,5599026409893,903334237,467.29,32.71,500,
VP1763,กันยายน 2568,11/09/2068,09/31,คุณศราวุฒิ,B101,Standard,,,,,373.83,26.17,400
VP1764,กันยายน 2568,11/09/2068,09/32,คุณสุดารัตน์,B206,Standard,925 หมู่ 13 ถนนสุขุมวิท ต.ท่าศาลา อ.ลำลูกกา จ.ชัยภูมิ,1842363725595,825368143,373.83,26.17,400,
VP1765,กันยายน 2568,12/09/2068,09/33,คุณแสงจันทร์,A106,Standard Twin,,,,,467.29,32.71,500
VP1766,กันยายน 2568,12/09/2068,09/34,คุณพิชยดล,A101,Standard,,,,,373.83,26.17,400
VP1767,กันยายน 2568,12/09/2068,09/35,คุณสุดารัตน์,N2,Standard,61 หมู่ 2 ถนนพหลโยธิน ต.บ้านใหม่ อ.ท่าเรือ จ.สุพรรณบุรี,1681284705030,864387693,467.29,32.71,500,
VP1768,กันยายน 2568,13/09/2068,09/36,คุณสุกัญญา,B209,Standard,,,,,373.83,26.17,400
VP1769,กันยายน 2568,13/09/2068,09/37,คุณธนาธิป,B107,Standard,,,,,373.83,26.17,400
VP1770,กันยายน 2568,13/09/2068,09/38,คุณนุจิรา,N2,Standard,,,,,467.29,32.71,500
VP1771,กันยายน 2568,14/09/2068,09/39,คุณมิ้นท์,B108,Standard,,,,,373.83,26.17,400
VP1772,กันยายน 2568,14/09/2068,09/40,คุณพิชยดล,B111,Standard Twin,227 หมู่ 7 ถนนรามอินทรา ต.โคกสูง อ.ลำลูกกา จ.สระบุรี,3849318155985,848035174,467.29,32.71,500,
VP1773,กันยายน 2568,14/09/2068,09/41,คุณกิติศักดิ์,A107,Standard Twin,567 หมู่ 14 ถนนพหลโยธิน ต.หนองจิก อ.ปากช่อง จ.ขอนแก่น,2537637841198,915905971,467.29,32.71,500,
VP1774,กันยายน 2568,15/09/2068,09/42,คุณมงคล,N1,Standard Twin,,,,,560.75,39.25,600
VP1775,กันยายน 2568,15/09/2068,09/43,คุณนฤวุฒิ,A101,Standard,,,,,373.83,26.17,400
VP1776,กันยายน 2568,15/09/2068,09/44,คุณวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.ท่าศาลา อ.บ้านไผ่ จ.ขอนแก่น,1468647714210,948970725,373.83,26.17,400,
VP1777,กันยายน 2568,16/09/2068,09/45,คุณทัจนีย์,B108,Standard,,,,,373.83,26.17,400
VP1778,กันยายน 2568,16/09/2068,09/46,คุณจิรศักดิ์,A106,Standard Twin,380 หมู่ 6 ถนนรามอินทรา ต.หนองจิก อ.ปากช่อง จ.ขอนแก่น,5599026409893,864387693,467.29,32.71,500,
