บัญชีผู้เข้าพักและรายละเอียดในการเรียกเก็บค่าธรรมเนียมบำรุงองค์การบริหารส่วนจังหวัด,,,,,,         แบบ อบจ. รร.6,,,,,ราคาห้องพัก (บาท),จำนวนห้อง,รวมเป็นเงิน (บาท),ค่าธรรมเนียม (บาท)
,,,,,,,,,,,400,151,"60,400.00",604
,,,         วันที่...............เดือน....กันยายน.....พ.ศ.......2568.......,,,,,,,,500,41,"20,500.00",205
                 เจ้าของ/เจ้าสำนักโรงแรม วิพัฒน์โฮเทลดีเวลลอปเม้นท์จำกัด ได้จัดทำรายการของผู้เข้าพักในโรงแรมประจำเดือน..สิงหาคม... พ.ศ... 2568,,,,,,,,,,,600,2,"1,200.00",12
ยื่นต่อองค์การบริหารส่วนจังหวัดบึงกาฬ ,,มีข้อความต่อไปนี้,,,,,,,,,รวม,194,"82,100.00",821
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,รวม,,,,,,
,,,วันเข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
1,A111,เงินสด,,,฿0,฿0,,VP01146,,,,,,
2,B107,เงินโอน QR,,,฿0,฿0,,VP01147,,,,,,
3,B105,เงินโอน QR,,,฿0,฿0,,VP01148,,,,,,
4,B106,เงินสด,,,฿0,฿0,,VP01149,,,,,,
5,A105,เงินสด,,,฿0,฿0,,VP01150,,,,,,
6,A106,เงินสด,,,฿0,฿0,,VP01151,,,,,,
7,B106,เงินโอน QR,,,฿0,฿0,,VP01152,,,,,,
8,N3,เงินสด,,,฿0,฿0,,VP01153,,,,,,
9,B107,เงินโอน QR,,,฿0,฿0,,VP01154,,,,,,
10,A101,เงินโอน QR,,,฿0,฿0,,VP01155,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันเข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
11,B102,เงินโอน QR,,,฿0,฿0,,VP01156,,,,,,
12,A106,เงินสด,,,฿0,฿0,,VP01157,,,,,,
13,A105,เงินโอน QR,,,฿0,฿0,,VP01158,,,,,,
14,A104,เงินโอน QR,,,฿0,฿0,,VP01159,,,,,,
15,N7,เงินสด,,,฿0,฿0,,VP01160,,,,,,
16,B108,เงินสด,,,฿0,฿0,,VP01161,,,,,,
17,B107,เงินสด,,,฿0,฿0,,VP01162,,,,,,
18,B109,เงินโอน QR,,,฿0,฿0,,VP01163,,,,,,
19,A105,เงินสด,,,฿0,฿0,,VP01164,,,,,,
20,B105,เงินโอน QR,,,฿0,฿0,,VP01165,,,,,,
21,A103,เงินโอน QR,,,฿0,฿0,,VP01166,,,,,,
22,N7,เงินโอน QR,,,฿0,฿0,,VP01167,,,,,,
23,A106,เงินสด,,,฿0,฿0,,VP01168,,,,,,
24,A105,เงินโอน QR,,,฿0,฿0,,VP01169,,,,,,
25,A104,เงินโอน QR,,,฿0,฿0,,VP01170,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันเข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
26,,เงินโอน QR,,,฿0,฿0,,VP01170,,,,,,
27,,เงินสด,,,฿0,฿0,,VP01171,,,,,,
28,,เงินสด,,,฿0,฿0,,VP01172,,,,,,
29,,เงินสด,,,฿0,฿0,,VP01173,,,,,,
30,,เงินโอน QR,,,฿0,฿0,,VP01174,,,,,,
31,,เงินสด,,,฿0,฿0,,VP01175,,,,,,
32,,เงินโอน QR,,,฿0,฿0,,VP01176,,,,,,
33,,เงินโอน QR,,,฿0,฿0,,VP01177,,,,,,
34,,เงินโอน QR,,,฿0,฿0,,VP01178,,,,,,
35,,เงินสด,,,฿0,฿0,,VP01179,,,,,,
36,,เงินโอน QR,,,฿0,฿0,,VP01180,,,,,,
37,,เงินโอน QR,,,฿0,฿0,,VP01181,,,,,,
38,,เงินสด,,,฿0,฿0,,VP01182,,,,,,
39,,เงินสด,,,฿0,฿0,,VP01183,,,,,,
40,,เงินสด,,,฿0,฿0,,VP01184,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
41,,,,,฿0,฿0,,เงินสด,,,,,,
42,,,,,฿0,฿0,,เงินโอน QR,,,,,,
43,,,,,฿0,฿0,,เงินโอน QR,,,,,,
44,,,,,฿0,฿0,,เงินโอน QR,,,,,,
45,,,,,฿0,฿0,,เงินสด,,,,,,
46,,,,,฿0,฿0,,เงินโอน QR,,,,,,
47,,,,,฿0,฿0,,เงินโอน QR,,,,,,
48,,,,,฿0,฿0,,เงินสด,,,,,,
49,,,,,฿0,฿0,,เงินสด,,,,,,
50,,,,,฿0,฿0,,เงินสด,,,,,,
51,,,,,฿0,฿0,,เงินโอน QR,,,,,,
52,,,,,฿0,฿0,,เงินสด,,,,,,
53,,,,,฿0,฿0,,เงินโอน QR,,,,,,
54,,,,,฿0,฿0,,เงินโอน QR,,,,,,
55,,,,,฿0,฿0,,เงินโอน QR,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันเข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
56,B107,เงินสด,,,฿0,฿0,,VP01201,,,,,,
57,A103,เงินโอน QR,,,฿0,฿0,,VP01202,,,,,,
