บัญชีผู้เข้าพักและรายละเอียดในการเรียกเก็บค่าธรรมเนียมบำรุงองค์การบริหารส่วนจังหวัด,,,,,,         แบบ อบจ. รร.6,,,,,ราคาห้องพัก (บาท),จำนวนห้อง,รวมเป็นเงิน (บาท),ค่าธรรมเนียม (บาท)
,,,,,,,,,,,400,151,"60,400.00",604
,,,         วันที่...............เดือน....กันยายน.....พ.ศ.......2568.......,,,,,,,,500,41,"20,500.00",205
                 เจ้าของ/เจ้าสำนักโรงแรม วิพัฒน์โฮเทลดีเวลลอปเม้นท์จำกัด ได้จัดทำรายการของผู้เข้าพักในโรงแรมประจำเดือน..สิงหาคม... พ.ศ... 2568,,,,,,,,,,,600,2,"1,200.00",12
ยื่นต่อองค์การบริหารส่วนจังหวัดบึงกาฬ ,,มีข้อความต่อไปนี้,,,,,,,,,รวม,194,"82,100.00",821
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,รวม,,,,,,
,,,วันเข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
1,,เงินสด,,,฿0,฿0,,VP01339,,,,,,
2,,เงินสด,,,฿0,฿0,,VP01340,,,,,,
3,,เงินสด,,,฿0,฿0,,VP01341,,,,,,
4,,เงินสด,,,฿0,฿0,,VP01342,,,,,,
5,,เงินสด,,,฿0,฿0,,VP01343,,,,,,
6,,เงินโอน QR,,,฿0,฿0,,VP01344,,,,,,
7,,เงินโอน QR,,,฿0,฿0,,VP01345,,,,,,
8,,เงินโอน QR,,,฿0,฿0,,VP01346,,,,,,
9,,เงินสด,,,฿0,฿0,,VP01347,,,,,,
10,,เงินโอน QR,,,฿0,฿0,,VP01348,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันเข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
11,A101,เงินสด,,,฿0,฿0,,VP01349,,,,,,
12,B107,เงินโอน QR,,,฿0,฿0,,VP01350,,,,,,
13,B108,เงินโอน QR,,,฿0,฿0,,VP01351,,,,,,
14,A106,เงินสด,,,฿0,฿0,,VP01352,,,,,,
15,A101,เงินสด,,,฿0,฿0,,VP01353,,,,,,
16,N2,เงินสด,,,฿0,฿0,,VP01354,,,,,,
17,N1,เงินโอน QR,,,฿0,฿0,,VP01355,,,,,,
18,A106,เงินสด,,,฿0,฿0,,VP01356,,,,,,
19,A101,เงินโอน QR,,,฿0,฿0,,VP01357,,,,,,
20,B107,เงินโอน QR,,,฿0,฿0,,VP01358,,,,,,
21,B101,เงินโอน QR,,,฿0,฿0,,VP01359,,,,,,
22,A106,เงินสด,,,฿0,฿0,,VP01360,,,,,,
23,A101,เงินโอน QR,,,฿0,฿0,,VP01361,,,,,,
24,N3,เงินโอน QR,,,฿0,฿0,,VP01362,,,,,,
25,B209,เงินสด,,,฿0,฿0,,VP01363,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันเข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
26,,#N/A,,,฿0,฿0,,,,,,,,
27,,#N/A,,,฿0,฿0,,,,,,,,
28,,#N/A,,,฿0,฿0,,,,,,,,
29,,#N/A,,,฿0,฿0,,,,,,,,
30,,#N/A,,,฿0,฿0,,,,,,,,
31,,#N/A,,,฿0,฿0,,,,,,,,
32,,#N/A,,,฿0,฿0,,,,,,,,
33,,#N/A,,,฿0,฿0,,,,,,,,
34,,#N/A,,,฿0,฿0,,,,,,,,
35,,#N/A,,,฿0,฿0,,,,,,,,
36,,#N/A,,,฿0,฿0,,,,,,,,
37,,#N/A,,,฿0,฿0,,,,,,,,
38,,#N/A,,,฿0,฿0,,,,,,,,
39,,#N/A,,,฿0,฿0,,,,,,,,
40,,#N/A,,,฿0,฿0,,,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
41,,,,,฿0,฿0,,,,,,,,
42,,,,,฿0,฿0,,,,,,,,
43,,,,,฿0,฿0,,,,,,,,
44,,,,,฿0,฿0,,,,,,,,
45,,,,,฿0,฿0,,,,,,,,
46,,,,,฿0,฿0,,,,,,,,
47,,,,,฿0,฿0,,,,,,,,
48,,,,,฿0,฿0,,,,,,,,
49,,,,,฿0,฿0,,,,,,,,
50,,,,,฿0,฿0,,,,,,,,
51,,,,,฿0,฿0,,,,,,,,
52,,,,,฿0,฿0,,,,,,,,
53,,,,,฿0,฿0,,,,,,,,
54,,,,,฿0,฿0,,,,,,,,
55,,,,,฿0,฿0,,,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันเข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
56,,,,,฿0,฿0,,,,,,,,
57,,,,,฿0,฿0,,,,,,,,
58,,,,,฿0,฿0,,,,,,,,
59,,,,,฿0,฿0,,,,,,,,
60,,,,,฿0,฿0,,,,,,,,
61,,,,,฿0,฿0,,,,,,,,
62,,,,,฿0,฿0,,,,,,,,
63,,,,,฿0,฿0,,,,,,,,
64,,,,,฿0,฿0,,,,,,,,
65,,,,,฿0,฿0,,,,,,,,
66,,,,,฿0,฿0,,,,,,,,
67,,,,,฿0,฿0,,,,,,,,
68,,,,,฿0,฿0,,,,,,,,
69,,,,,฿0,฿0,,,,,,,,
