เลขที่ลำดับ,Transaction ID,ชื่อ นามสกุล,ที่อยู่,หมายเลขบัตรประชาชน,เบอร์ติดต่อกลับ,ประเภทการชำระเงิน,  วันเวลา เข้ามาพัก,ห้องพักเลขที่,สัญชาติ,อาชีพ,มาจากตำบล อำเภอ จังหวัด หรือประเทศใด,จะไปตำบล อำเภอ จังหวัด หรือประเทศใด,วันเวลาที่ออกไป
10,#REF!,ชัชพล หลวงชา,-,-,091-8673-787,เงินโอน QR,04 ส.ค. 68,A101,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
11,VP01156,คุณปอนด์,-,-,06-2414-378,เงินโอน QR,04 ส.ค. 68,B102,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
12,VP01157,เพลง,-,-,081-9524-051,เงินสด,04 ส.ค. 68,A106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
13,VP01158,โสภณ,-,-,083-7257-244,เงินโอน QR,04 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
14,VP01159,บริษัท โชวี่,-,-,081-7369-113,เงินโอน QR,04 ส.ค. 68,A104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
15,VP01160,คุณส้ม,-,-,065-9208-391,เงินสด,04 ส.ค. 68,N7,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
16,VP01161,เต้,-,-,088-2744-477,เงินสด,04 ส.ค. 68,B108,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
17,VP01162,อธิวัฒน์ ยาทองไชย,-,-,063-5250-916,เงินสด,05 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,06 ส.ค. 68
18,VP01163,พัชรินทร์,-,-,080-2104-363,เงินโอน QR,05 ส.ค. 68,B109,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,06 ส.ค. 68
19,VP01164,ราชสีมา,-,-,-,เงินสด,05 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,06 ส.ค. 68
